Date,Content,Introvert(I),Extrovert(E),Judging(J),Perceiving(P),Feeling(F),Thinking(T),Sensing(S),Intuition(I),Flesch,Novelty Score,Novelty Ratio,Smog,Kincaid,Coleman,Readability,Dae Chall,Linsear Write,Gunning Fog,ENFJ - The Giver,ENFP - The Champion,ENTJ - The Commander,ENTP - The Debater,ESFJ - The Caregiver,ESFP - The Performer,ESTJ - The Director,ESTP - The Persuader,INFJ - The Advocate,INFP - The Mediator,INTJ - The Architect,INTP - The Thinker,ISFJ - The Protector,ISFP - The Artist,ISTJ - The Inspector,ISTP - The Crafter,agriculture_environment,arts_culture,business_industry,economics_finance,education_language,employment_labour,government_politics,health_safety,indigenous_affairs,information_communications,international_affairs,law_justice,science_technology,social_affairs
02/03/2020,"I really dont think world has a future with khans and kapoor's of bollywood....They are simply hedging their past money by investing in startups, because believing in small small oyo ritesh aggarwal's  or The Viral Fever bias is more easy.....But, they all should have acquired TVF ... MTV, CHANNEL V are like nokia and kodaks both in terms of viewership and revenue compared to TVF....Most companies dont recognize bias in themselves or the fast changing situations....Here is a complete list of cognitive biases - https://en.wikipedia.org/wiki/Cognitive_bias",0.999461,0.000539422,0.000194365,0.999806,0.0384591,0.961541,0.00168792,0.998312,29.35,71,83.52941176470588,0.0,19.5,14.41,26.3,10.45,27.25,21.9,0.237438,0.00329088,0.00843868,0.00971156,0.00118882,0.000613708,0.0204704,0.00619182,0.0528567,0.0128711,0.617391,0.0156858,0.00386985,0.00120446,0.0008903,0.00788774,0.00652035,0.000725774,0.0113895,0.43286,0.00208223,0.00512268,0.0326513,0.313002,0.00274717,0.0147118,0.0218025,0.000440444,0.00705613,0.148888
02/03/2020,"There will be no versions of bhakt , bhakkt, bhaqqt , discourse words formation of god due to blind spots in humanism based ai and possibly no morse code encoded messages /passwords you see in bakch*d raw isi agent characters....",0.977357,0.0226432,0.000158162,0.999842,0.0710023,0.928998,0.030699,0.969301,49.83,36,90.0,0.0,15.8,10.92,21.1,9.26,25.0,20.46,0.00190139,0.155884,0.00608356,0.0388588,0.0065802,0.00758182,0.107221,0.0230298,0.0524634,0.0113838,0.0191535,0.529519,0.00716533,0.00296382,0.0121676,0.0180431,0.0261753,0.00481164,0.0362901,0.00347063,0.00612464,0.011747,0.259001,0.0437352,0.00383699,0.149602,0.0513213,0.161938,0.0601888,0.181757
03/03/2020,Happy birthday deepti...keep shining...,0.0044314,0.995569,0.992954,0.00704634,0.0412892,0.958711,0.999541,0.00045889,8.2,4,100.0,0.0,13.1,20.3,23.0,7.78,2.0,1.6,0.0298101,7.79245e-05,0.00226126,8.84864e-05,0.000146472,0.00056867,9.72161e-05,0.000308245,6.59751e-05,0.965754,4.23613e-05,0.0002439,0.000143731,0.000155773,0.000138567,9.74134e-05,1.97113e-06,1.54679e-06,3.49655e-06,3.81787e-06,1.35254e-05,6.4234e-06,5.27557e-05,1.00319e-05,2.53037e-06,7.05144e-06,1.77465e-05,4.55074e-07,3.3827e-06,0.999875
04/03/2020,"Off from facebook for next 30 days...surely a big plan to unsettle india...even Facebook vp quit saying feedback loops dopamine hits have reached a new high and it's not making or building societies... It's really not one country's right to dictate other country's newly formed words of language discourse and apply humanism ai on it...and force the good ones to have ethics for follower count stability...and even then not being able to do anything about blind spots ,optic nerves, real image virtual image, video virals , hate speeches and finally riots....Elon Musk is right ...it's lame ....just see the difference between humaramovie themes , tamasha, raula , love aajkal entire content- ull understand discourse new words formation is a biological phenomenon...I don't want to explore that anymore as I get paranoid about corona virus biological weapon conspiracy theory for video virals as one of the symptoms is breathing problem corelated to seeing sensitive viral videos of across borders and mental health even if you meditate...stay safe with precautions from w.h.o. and not from pharma or tech giants war...surely a one quarter recession...buy  stocks now...good luck",0.782382,0.217618,0.00663918,0.993361,0.343795,0.656205,0.0125245,0.987476,-20.9,143,77.29729729729729,0.0,38.8,13.77,49.8,12.14,30.5,39.92,0.0098516,0.0365647,0.0309624,0.020332,0.00407285,0.00123554,0.0268525,0.0892225,0.0302106,0.0627948,0.648706,0.0250083,0.000702984,0.00800734,0.00100157,0.00447378,0.00236149,5.27602e-05,0.000935711,0.000428583,4.83074e-05,0.000682148,0.760422,0.164922,0.000150455,0.00589497,0.0141339,0.00466462,0.0145773,0.0307258
22/03/2020,"This entire thing could have been avoided, had there been less herd behavior/bandwagon effect of MBA or masters in artificial intelligence--- and more takers of Masters in Public Health....These Public Health professionals will always earn more than mba and ai ppl now ,without sitting on addictive screens / without getting obesity...",0.983483,0.0165169,0.000758754,0.999241,0.921213,0.0787872,0.0761756,0.923824,20.73,45,88.23529411764706,0.0,22.8,15.04,30.4,9.91,31.5,25.6,0.0090218,0.00929026,0.00520015,0.00312924,0.00057567,0.00377834,0.000932355,0.00820193,0.0111902,0.00257155,0.931288,0.00342892,0.00663522,0.00169896,0.00208981,0.000967255,0.028292,0.00089366,0.000419514,0.00073274,0.000915359,0.00413632,0.0317223,0.803843,0.00135989,0.00462098,0.00284871,0.00956053,0.00916961,0.101486
24/03/2020,Pm modi's  corona full form -> koi road pe na nikley for 21 days....i too discovered other full forms--> koi roye na....... koi roz na marey......koi roz roz na tension de...... kuch aur on akeley akeley... co-relation of no animals on road....These 21 days can be very beautiful for self expression and creativity based healing....,0.0225789,0.977421,0.793472,0.206528,0.0152677,0.984732,0.560335,0.439665,33.59,45,81.81818181818183,0.0,22.0,8.95,29.7,8.95,33.5,25.3,0.0208757,0.01833,0.0699252,0.0297654,0.0286589,0.0434576,0.000536783,0.414292,0.0771677,0.132003,0.0375745,0.0174916,0.0221248,0.0526224,0.00287561,0.0322993,0.0486501,0.0307491,0.0375585,0.0473456,0.00532164,0.0124115,0.0309238,0.414947,0.0212506,0.0501491,0.139656,0.0633192,0.059726,0.0379923
26/03/2020,"Ye baat....some people are always right in proving conspiracy theories wrong....Bottom line-> Whistle blowers should be treated perfectly, at least for whole world....",0.999139,0.000860675,0.0683519,0.931648,0.00746859,0.992531,0.0119314,0.988069,39.67,23,100.0,0.0,13.4,15.79,19.7,8.9,15.5,14.42,0.00404006,0.00191712,0.00266879,0.00166552,0.00107118,0.00110644,0.00174337,0.00199585,0.0120533,0.0058687,0.00648669,0.951756,0.00112074,0.0018595,0.00261479,0.00203157,0.00730704,0.00365504,0.00793894,0.00931056,0.00125259,0.639533,0.20704,0.0674942,0.00136795,0.00922062,0.00699577,0.00762232,0.00299992,0.0282624
26/03/2020,"A coursera 5 hour teachout everyone should attend--> Coursera has mailed a personalized course teachout from their masters in public health(epidemiologic / Biostatistics etc) - ""Fighting COVID-19 with Epidemiology: A Johns Hopkins Teach-Out""

where three members of  Department of Epidemiology faculty will lead through a two-week exploration of the epidemiologic toolset that helps us answer pressing questions like:

How many people have been infected?

How do we measure who is infected? 

How infectious is the virus?

What can we do to fight it?

In addition to a basic understanding of these essential tools, this Teach-Out provides an opportunity  to learn and connect with one another while continuing to practice the social distancing measures that will help keep us all safe.They will also provide you with some tangible calls to action that will empower you to make a meaningful contribution to the fight against COVID-19.",0.996423,0.00357687,0.00222957,0.99777,0.496808,0.503192,0.011293,0.988707,-72.66,111,77.08333333333334,0.0,58.7,15.34,75.9,14.46,13.4,62.15,0.225683,0.00896123,0.031644,0.0174664,0.0173513,0.0188382,0.0164796,0.0112237,0.147075,0.0127628,0.400621,0.046441,0.0144822,0.012509,0.00756645,0.0108955,0.00503574,0.00128089,0.000861445,0.00169718,0.00235026,0.00639541,0.334499,0.550958,0.00256694,0.0142516,0.0222841,0.00238763,0.00572697,0.0497055
29/03/2020,"Aaj Sita maiyaa apni saheliyon k convince karney pe, ram jee ko dekhney , pushp vatika gayee theen........Kalyug mein isey kuch mere young cousins/nephews, profile pic ""see first"" stalking kehtey hain",0.114896,0.885104,0.997626,0.00237444,0.999991,8.90407e-06,0.00559957,0.9944,49.49,31,100.0,0.0,13.8,13.47,20.3,11.44,16.5,13.33,0.447905,0.00915386,0.0523275,0.12304,0.00183894,0.00217388,0.00274814,0.00507421,0.0171591,0.0169742,0.00707036,0.25095,0.0388231,0.00317313,0.0187483,0.00284075,0.0051387,0.00579667,0.00825257,0.000702603,0.00142457,0.845902,0.0278605,0.00599712,0.00191835,0.0102494,0.0020374,0.00374669,0.00365073,0.0773225
29/03/2020,"I don't think manmohan singh and Gandhi family could have even thought about this, doing more beds faster than china in too less cost... Resourceful, innovative and too daring to even announce a lockdown was never any party's cup of tea... Specially in a democracy n non communist country....My PESD fb post friends on facebook - (PESD=Post election stress disorder, another name for those -who get political fb posts induced anxiety) ,, simply had no other better choice than bjp or its leaders before getting PESD....PESD becomes less in all people on social media when the cause corona is affecting everyone irrespective of the political parties....One of the PESD formula= 'Number of negative sentiment political posts done by you' divided by 'Number of positive sentiment political posts done by you'",0.862603,0.137397,6.87126e-05,0.999931,0.949373,0.0506268,0.853069,0.146931,19.67,102,78.46153846153847,19.6,21.1,12.67,24.8,9.95,21.333333333333332,22.39,0.083147,0.0019459,0.211914,0.00609179,0.00240449,0.00444955,0.0493402,0.00335308,0.183314,0.0274968,0.409613,0.00368036,0.00406466,0.00574449,0.00128765,0.0021524,0.000393745,0.000156986,2.07231e-05,0.00165804,8.90192e-05,0.000303972,0.967882,0.00195628,0.000165174,0.000458411,0.000968979,0.00264506,0.000272248,0.0230295
